,Unnamed: 0,Year,Month,Count,time,State
19,19,2020,10,18092.0,2020-10-01,florida
20,20,2020,11,17169.0,2020-11-01,florida
21,21,2020,12,17734.0,2020-12-01,florida
22,22,2021,1,16544.0,2021-01-01,florida
23,23,2021,2,16116.0,2021-02-01,florida
0,0,2019,3,1353.0,2019-03-01,hawaii
1,1,2019,4,1337.0,2019-04-01,hawaii
2,2,2019,5,1449.0,2019-05-01,hawaii
3,3,2019,6,1338.0,2019-06-01,hawaii
4,4,2019,7,1448.0,2019-07-01,hawaii
5,5,2019,8,1480.0,2019-08-01,hawaii
6,6,2019,9,1443.0,2019-09-01,hawaii
7,7,2019,10,1417.0,2019-10-01,hawaii
8,8,2019,11,1431.0,2019-11-01,hawaii
9,9,2019,12,1403.0,2019-12-01,hawaii
10,10,2020,1,1350.0,2020-01-01,hawaii
11,11,2020,2,1292.0,2020-02-01,hawaii
12,12,2020,3,1356.0,2020-03-01,hawaii
13,13,2020,4,1304.0,2020-04-01,hawaii
14,14,2020,5,1336.0,2020-05-01,hawaii
15,15,2020,6,1201.0,2020-06-01,hawaii
16,16,2020,7,1325.0,2020-07-01,hawaii
17,17,2020,8,1326.0,2020-08-01,hawaii
18,18,2020,9,1332.0,2020-09-01,hawaii
19,19,2020,10,1384.0,2020-10-01,hawaii
20,20,2020,11,1318.0,2020-11-01,hawaii
21,21,2020,12,1256.0,2020-12-01,hawaii
22,22,2021,1,1190.0,2021-01-01,hawaii
23,23,2021,2,1096.0,2021-02-01,hawaii
